Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1980,.30,.40,.30,.30,.35,.20,.22,.18,.20,.13,.30,.22,.26,.28,.39,.32,.20,.21
1981,.52,.42,.48,.32,.24,.29,.32,.35,.15,.12,.23,.41,.32,.31,.39,.35,.32,.17
1982,.05,.15,.03,.15,.18,.06,.14,.04,.14,.13,.17,.42,.14,.14,.20,.12,.08,.15
1983,.53,.43,.41,.28,.33,.22,.18,.35,.37,.16,.30,.17,.31,.33,.46,.34,.25,.28
1984,.31,.14,.26,.06,.32,.02,.19,.19,.21,.13,.07,-.04,.16,.17,.21,.21,.13,.14
1985,.22,-.04,.17,.12,.14,.15,.04,.16,.13,.11,.05,.13,.12,.10,.05,.15,.12,.10
1986,.27,.37,.30,.22,.21,.12,.11,.15,.03,.15,.11,.14,.18,.18,.26,.24,.13,.10
1987,.32,.43,.18,.24,.25,.34,.40,.24,.35,.32,.29,.46,.32,.29,.30,.23,.33,.32
1988,.56,.44,.51,.42,.43,.39,.32,.39,.36,.37,.12,.28,.38,.40,.49,.46,.37,.28
1989,.12,.30,.36,.29,.17,.16,.34,.33,.35,.29,.19,.37,.27,.26,.23,.27,.28,.28
1990,.41,.43,.80,.56,.45,.39,.46,.34,.23,.44,.47,.40,.45,.45,.40,.60,.40,.38
1991,.42,.49,.35,.51,.34,.53,.47,.40,.44,.28,.29,.31,.40,.41,.44,.40,.46,.34
1992,.47,.41,.47,.27,.30,.25,.08,.08,-.01,.06,.02,.21,.22,.23,.40,.35,.14,.03
1993,.34,.37,.36,.27,.28,.23,.25,.11,.12,.23,.04,.18,.23,.23,.31,.31,.19,.13
1994,.26,.02,.30,.40,.27,.43,.30,.22,.32,.41,.44,.38,.31,.30,.15,.33,.32,.39
1995,.52,.79,.47,.46,.28,.42,.45,.46,.34,.47,.44,.25,.45,.46,.56,.40,.44,.42
1996,.24,.46,.33,.32,.28,.25,.36,.48,.25,.19,.39,.37,.33,.32,.32,.31,.36,.27
1997,.30,.41,.52,.35,.36,.54,.34,.43,.52,.60,.64,.58,.46,.45,.36,.41,.44,.59
1998,.58,.87,.64,.64,.66,.76,.68,.66,.42,.42,.44,.56,.61,.61,.68,.65,.70,.43
1999,.49,.65,.32,.33,.27,.36,.38,.32,.39,.34,.37,.42,.39,.40,.56,.31,.35,.37
2000,.26,.56,.55,.57,.35,.39,.38,.42,.40,.28,.31,.29,.40,.41,.41,.49,.40,.33
2001,.46,.44,.56,.51,.58,.52,.59,.50,.52,.51,.73,.56,.54,.52,.39,.55,.54,.59
2002,.78,.79,.88,.58,.63,.53,.61,.53,.64,.54,.59,.44,.63,.64,.71,.70,.55,.59
2003,.75,.58,.60,.55,.61,.48,.58,.65,.63,.74,.53,.75,.62,.60,.59,.59,.57,.63
2004,.58,.73,.63,.61,.39,.44,.27,.47,.51,.61,.73,.51,.54,.56,.69,.55,.39,.62
2005,.75,.60,.74,.68,.63,.65,.62,.62,.72,.75,.74,.68,.68,.67,.62,.69,.63,.73
2006,.56,.73,.63,.49,.50,.66,.55,.71,.65,.69,.73,.79,.64,.63,.66,.54,.64,.69
2007,1.02,.70,.72,.75,.68,.61,.60,.60,.60,.59,.58,.49,.66,.69,.84,.72,.60,.59
2008,.30,.38,.74,.53,.49,.49,.60,.47,.61,.65,.69,.54,.54,.54,.39,.59,.52,.65
2009,.65,.53,.54,.60,.66,.65,.71,.68,.73,.66,.81,.67,.66,.65,.58,.60,.68,.73
2010,.75,.83,.91,.84,.76,.68,.64,.66,.63,.70,.82,.45,.72,.74,.75,.84,.66,.72
2011,.52,.49,.65,.65,.52,.61,.71,.73,.58,.66,.59,.61,.61,.59,.49,.60,.68,.61
2012,.50,.49,.57,.71,.77,.65,.58,.64,.71,.79,.79,.53,.64,.65,.53,.69,.62,.76
2013,.71,.63,.67,.56,.62,.71,.61,.70,.77,.69,.85,.70,.68,.67,.62,.62,.67,.77
2014,.76,.55,.79,.81,.85,.67,.59,.81,.85,.80,.67,.80,.75,.74,.67,.82,.69,.77
2015,.85,.90,.96,.77,.79,.81,.75,.83,.84,1.08,1.06,1.16,.90,.87,.85,.84,.80,1.00
2016,1.17,1.37,1.36,1.12,.96,.82,.84,1.01,.91,.88,.91,.86,1.02,1.04,1.23,1.15,.89,.90
2017,1.02,1.14,1.16,.94,.90,.72,.82,.87,.79,.90,.88,.94,.92,.92,1.01,1.00,.80,.86
2018,.82,.85,.90,.90,.83,.78,.83,.77,.80,1.01,.83,.92,.85,.85,.87,.87,.79,.88
2019,.93,.96,1.18,1.02,.86,.92,.94,.94,.92,1.02,1.00,1.10,.98,.97,.94,1.02,.93,.98
