# YEAR   JAN   FEB   MAR   APR   MAY   JUN   JUL   AUG   SEP   OCT   NOV   DEC    
1980   0.7   0.5  -0.7  -1.0  -0.0  -0.0  -0.1   0.6  -0.8   0.0  -0.6  -0.1
1981   0.6  -0.3  -2.1  -0.2   1.3   2.0   1.4   1.2   0.5  -0.6   0.3   0.8
1982   2.0   0.4   1.0   0.1  -0.6  -1.7  -2.5  -2.9  -2.9  -2.8  -4.3  -3.7
1983  -5.8  -6.0  -4.0  -1.5   1.0   0.1  -1.0   0.2   1.4   0.7  -0.2   0.0
1984   0.3   1.4  -0.4   0.6   0.3  -0.6   0.3   0.7   0.2  -0.5   0.4  -0.2
1985  -0.5   2.0   1.3   1.9   0.7  -0.6  -0.2   1.6   0.0  -0.6  -0.3   0.4
1986   1.6  -1.7   0.8   0.5  -0.4   1.6   0.5  -0.6  -0.8   1.1  -2.0  -2.4
1987  -1.1  -2.1  -2.1  -2.3  -2.1  -1.8  -2.2  -1.5  -1.7  -0.6  -0.0  -0.8
1988  -0.2  -0.6   1.1   0.2   1.5   0.1   1.7   2.5   3.0   2.3   2.8   2.0
1989   2.5   2.0   1.8   2.7   2.0   1.2   1.5  -0.5   0.8   1.3  -0.4  -0.9
1990  -0.1  -3.0  -0.7   0.3   2.0   0.5   0.9  -0.3  -1.2   0.4  -0.8  -0.4
1991   1.0   0.4  -1.1  -1.0  -1.7  -0.2   0.0  -0.7  -2.5  -1.7  -1.1  -2.9
1992  -4.7  -1.5  -3.3  -1.7   0.4  -1.0  -1.0   0.6   0.1  -2.3  -1.1  -0.9
1993  -1.5  -1.2  -0.8  -1.9  -0.6  -1.4  -1.3  -1.6  -1.2  -1.8  -0.1   0.3
1994  -0.2   0.4  -1.1  -2.1  -1.1  -0.7  -2.2  -2.0  -2.6  -1.9  -0.9  -2.0
1995  -0.7  -0.2   1.2  -1.1  -0.6   0.2   0.7   0.5   0.4   0.0   0.1  -0.8
1996   1.6   0.4   1.9   1.3   0.5   1.9   1.1   1.2   1.0   1.0  -0.1   1.5
1997   0.8   2.9  -0.7  -1.0  -2.2  -2.3  -1.2  -2.4  -2.4  -2.4  -2.0  -1.6
1998  -4.4  -3.4  -4.0  -2.4   0.4   1.6   2.0   1.9   1.7   1.8   1.7   2.3
1999   3.0   1.6   2.1   2.3   0.4   0.4   0.9   0.6  -0.1   1.6   1.7   2.4
2000   1.1   2.7   2.2   2.0   0.6  -0.3  -0.3   1.2   1.4   1.8   3.0   1.3
2001   1.6   2.8   1.5   0.3  -0.8   0.5  -0.3  -0.7   0.3  -0.1   1.1  -1.4
2002   0.7   1.8  -0.4  -0.1  -1.4  -0.4  -0.8  -1.6  -1.0  -0.6  -0.7  -1.8
2003  -0.3  -1.1  -0.5  -0.2  -0.5  -1.0   0.5   0.2  -0.2   0.0  -0.5   1.8
2004  -2.2   2.0   0.7  -1.5   1.7  -1.4  -0.8  -0.5  -0.6  -0.1  -1.1  -1.3
2005   0.6  -5.2   0.5  -1.0  -1.3   0.7   0.3  -0.6   0.6   2.0  -0.3  -0.0
2006   2.7   0.2   2.9   1.8  -0.8  -0.4  -1.0  -1.7  -1.0  -2.1   0.1  -0.5
2007  -1.3  -0.1   0.3  -0.2  -0.2   0.9  -0.5   0.7   0.3   1.2   1.4   2.7
2008   2.9   4.4   2.4   1.1  -0.1   1.0   0.5   1.7   2.0   2.1   2.2   2.4
2009   1.8   3.1   0.7   1.3  -0.2   0.2   0.4  -0.3   0.5  -2.0  -1.0  -1.2
2010  -1.8  -2.4  -1.1   2.0   1.5   0.6   3.0   3.0   3.7   2.9   2.1   4.8
2011   3.8   4.5   4.2   3.1   0.6   0.4   1.6   0.7   1.7   1.2   1.8   4.1
2012   1.8   0.8   1.2  -0.4   0.1  -0.7  -0.1  -0.3   0.4   0.5   0.4  -1.0
2013  -0.1  -0.4   2.5   0.4   1.3   2.0   1.3   0.3   0.5  -0.1   1.2   0.1
2014   2.4   0.1  -1.5   1.3   0.9   0.3  -0.3  -1.2  -1.2  -1.0  -1.5  -0.9
2015  -1.4   0.4  -1.2  -0.1  -1.2  -0.9  -1.9  -2.4  -2.7  -2.8  -0.8  -0.9
2016  -3.6  -3.2  -0.1  -2.0   0.7   1.1   0.7   1.2   2.0  -0.4  -0.2   0.5
2017   0.3  -0.1   1.5  -0.3   0.4  -0.7   1.3   0.9   1.0   1.5   1.5  -0.2
2018   1.8  -0.8   2.4   0.8   0.6  -0.2   0.4  -0.5  -1.5   0.6  -0.1   1.7
2019  -0.1  -2.3  -0.5   0.2  -0.7  -0.7  -0.6  -0.2  -1.9  -0.6  -1.4  -0.9
